Source,Target,inflow,weight
28,13,4786,0.4786
29,13,3078,0.3078
30,13,196,0.0196
31,13,692,0.0692
32,13,1515,0.1515
33,13,580,0.058
34,13,6016,0.6016
35,13,1383,0.1383
36,13,16749,1.6749
37,13,16128,1.6128
38,13,175,0.0175
39,13,8865,0.8865
4,13,4425,0.4425
40,13,2059,0.2059
41,13,958,0.0958
42,13,7124,0.7124
44,13,477,0.0477
45,13,15206,1.5206
46,13,185,0.0185
47,13,17096,1.7096
48,13,17187,1.7187
49,13,1435,0.1435
5,13,1866,0.1866
50,13,266,0.0266
51,13,11377,1.1377
53,13,2910,0.291
54,13,844,0.0844
55,13,3006,0.3006
56,13,448,0.0448
6,13,14597,1.4597
72,13,2689,0.2689
8,13,4391,0.4391
9,13,3603,0.3603
AFR,13,5726,0.5726
ASI,13,25483,2.5483
CAM,13,6407,0.6407
CAR,13,2491,0.2491
EUR,13,7932,0.7932
ISL,13,742,0.0742
NAM,13,1222,0.1222
OCE,13,758,0.0758
SAM,13,3974,0.3974
1,15,564,0.0564
10,15,28,0.0028
11,15,404,0.0404
12,15,2340,0.234
13,15,1990,0.199
16,15,440,0.044
17,15,1476,0.1476
18,15,670,0.067
19,15,449,0.0449
2,15,724,0.0724
20,15,458,0.0458
21,15,269,0.0269
22,15,536,0.0536
23,15,347,0.0347
24,15,852,0.0852
25,15,464,0.0464
26,15,503,0.0503
27,15,409,0.0409
28,15,167,0.0167
29,15,641,0.0641
30,15,97,0.0097
31,15,162,0.0162
32,15,1394,0.1394
33,15,34,0.0034
34,15,335,0.0335
35,15,418,0.0418
36,15,1739,0.1739
37,15,1975,0.1975
38,15,17,0.0017
39,15,681,0.0681
4,15,2023,0.2023
40,15,502,0.0502
41,15,1234,0.1234
42,15,850,0.085
44,15,205,0.0205
45,15,1237,0.1237
46,15,52,0.0052
47,15,820,0.082
48,15,4387,0.4387
49,15,842,0.0842
5,15,72,0.0072
50,15,23,0.0023
51,15,2442,0.2442
53,15,3615,0.3615
54,15,27,0.0027
55,15,239,0.0239
56,15,22,0.0022
6,15,11218,1.1218
72,15,118,0.0118
8,15,2020,0.202
9,15,434,0.0434
AFR,15,105,0.0105
ASI,15,9978,0.9978
CAM,15,384,0.0384
CAR,15,65,0.0065
EUR,15,2136,0.2136
ISL,15,1220,0.122
NAM,15,485,0.0485
OCE,15,1078,0.1078
SAM,15,156,0.0156
1,16,141,0.0141
10,16,27,0.0027
11,16,18,0.0018
12,16,906,0.0906
13,16,488,0.0488
15,16,664,0.0664
17,16,952,0.0952
18,16,126,0.0126
19,16,253,0.0253
2,16,1797,0.1797
20,16,565,0.0565
21,16,341,0.0341
22,16,230,0.023
23,16,160,0.016
24,16,204,0.0204
25,16,220,0.022
26,16,432,0.0432
27,16,525,0.0525
28,16,95,0.0095
29,16,912,0.0912
30,16,1927,0.1927
31,16,223,0.0223
32,16,2376,0.2376
33,16,45,0.0045
34,16,73,0.0073
35,16,671,0.0671
36,16,589,0.0589
37,16,899,0.0899
38,16,717,0.0717
39,16,367,0.0367
4,16,2943,0.2943
40,16,389,0.0389
41,16,4617,0.4617
42,16,491,0.0491
44,16,0,0
45,16,227,0.0227
46,16,626,0.0626
47,16,688,0.0688
48,16,2854,0.2854
49,16,6882,0.6882
5,16,693,0.0693
50,16,227,0.0227
51,16,756,0.0756
53,16,9172,0.9172
54,16,137,0.0137
55,16,277,0.0277
56,16,1997,0.1997
6,16,14778,1.4778
72,16,52,0.0052
8,16,2543,0.2543
9,16,59,0.0059
AFR,16,108,0.0108
ASI,16,2517,0.2517
CAM,16,1675,0.1675
CAR,16,172,0.0172
EUR,16,2063,0.2063
ISL,16,64,0.0064
NAM,16,494,0.0494
OCE,16,297,0.0297
SAM,16,690,0.069
1,17,1889,0.1889
10,17,169,0.0169
11,17,1089,0.1089
12,17,12767,1.2767
13,17,5284,0.5284
15,17,1156,0.1156
16,17,590,0.059
18,17,16104,1.6104
19,17,8691,0.8691
2,17,1429,0.1429
20,17,1819,0.1819
21,17,3276,0.3276
22,17,1614,0.1614
23,17,517,0.0517
24,17,2608,0.2608
25,17,3635,0.3635
26,17,11330,1.133
27,17,4587,0.4587
28,17,1928,0.1928
29,17,14759,1.4759
30,17,545,0.0545
31,17,1444,0.1444
32,17,2308,0.2308
33,17,322,0.0322
34,17,3131,0.3131
35,17,848,0.0848
36,17,7643,0.7643
37,17,4930,0.493
38,17,383,0.0383
39,17,8341,0.8341
4,17,4725,0.4725
40,17,1585,0.1585
41,17,1406,0.1406
42,17,4963,0.4963
44,17,357,0.0357
45,17,1530,0.153
46,17,303,0.0303
47,17,5320,0.532
48,17,12036,1.2036
49,17,981,0.0981
5,17,1789,0.1789
50,17,475,0.0475
51,17,5360,0.536
53,17,3821,0.3821
54,17,642,0.0642
55,17,14327,1.4327
56,17,288,0.0288
6,17,16761,1.6761
72,17,1446,0.1446
8,17,3799,0.3799
9,17,1583,0.1583
AFR,17,6115,0.6115
ASI,17,33385,3.3385
CAM,17,6716,0.6716
CAR,17,1026,0.1026
EUR,17,13029,1.3029
ISL,17,294,0.0294
NAM,17,2095,0.2095
OCE,17,481,0.0481
SAM,17,3684,0.3684
1,18,1362,0.1362
10,18,126,0.0126
11,18,403,0.0403
12,18,8652,0.8652
13,18,3702,0.3702
15,18,798,0.0798
16,18,375,0.0375
17,18,32117,3.2117
19,18,1571,0.1571
2,18,314,0.0314
20,18,1296,0.1296
21,18,10032,1.0032
22,18,831,0.0831
23,18,360,0.036
24,18,1188,0.1188
25,18,981,0.0981
26,18,9709,0.9709
27,18,1486,0.1486
28,18,839,0.0839
29,18,2321,0.2321
30,18,422,0.0422
31,18,356,0.0356
32,18,1448,0.1448
33,18,306,0.0306
34,18,2281,0.2281
35,18,490,0.049
36,18,2371,0.2371
37,18,3652,0.3652
38,18,381,0.0381
39,18,11318,1.1318
4,18,2371,0.2371
40,18,1020,0.102
41,18,1059,0.1059
42,18,2083,0.2083
44,18,129,0.0129
45,18,1295,0.1295
46,18,236,0.0236
47,18,3565,0.3565
48,18,7174,0.7174
49,18,842,0.0842
5,18,962,0.0962
50,18,250,0.025
51,18,2443,0.2443
53,18,2095,0.2095
54,18,294,0.0294
55,18,3085,0.3085
56,18,148,0.0148
6,18,7337,0.7337
72,18,213,0.0213
8,18,2032,0.2032
9,18,753,0.0753
AFR,18,1907,0.1907
ASI,18,13364,1.3364
CAM,18,2417,0.2417
CAR,18,750,0.075
EUR,18,3540,0.354
ISL,18,71,0.0071
NAM,18,575,0.0575
OCE,18,407,0.0407
SAM,18,1351,0.1351
1,19,531,0.0531
10,19,129,0.0129
11,19,49,0.0049
12,19,3007,0.3007
13,19,1268,0.1268
15,19,189,0.0189
16,19,505,0.0505
17,19,13997,1.3997
18,19,2084,0.2084
2,19,891,0.0891
20,19,2053,0.2053
21,19,462,0.0462
22,19,380,0.038
23,19,129,0.0129
24,19,522,0.0522
25,19,347,0.0347
26,19,933,0.0933
27,19,8390,0.839
28,19,337,0.0337
29,19,4258,0.4258
30,19,172,0.0172
31,19,7062,0.7062
32,19,593,0.0593
33,19,74,0.0074
34,19,522,0.0522
35,19,369,0.0369
36,19,562,0.0562
37,19,1225,0.1225
38,19,715,0.0715
39,19,1221,0.1221
4,19,2033,0.2033
40,19,805,0.0805
41,19,484,0.0484
42,19,1166,0.1166
44,19,75,0.0075
45,19,462,0.0462
46,19,1964,0.1964
47,19,1046,0.1046
48,19,3728,0.3728
49,19,549,0.0549
5,19,916,0.0916
50,19,218,0.0218
51,19,785,0.0785
53,19,1524,0.1524
54,19,211,0.0211
55,19,3884,0.3884
56,19,227,0.0227
6,19,3448,0.3448
72,19,28,0.0028
8,19,2327,0.2327
9,19,173,0.0173
AFR,19,1539,0.1539
ASI,19,6510,0.651
CAM,19,1100,0.11
CAR,19,239,0.0239
EUR,19,1973,0.1973
ISL,19,22,0.0022
NAM,19,240,0.024
OCE,19,253,0.0253
SAM,19,782,0.0782
1,20,670,0.067
10,20,48,0.0048
11,20,36,0.0036
12,20,3106,0.3106
13,20,2360,0.236
15,20,440,0.044
16,20,101,0.0101
17,20,2358,0.2358
18,20,936,0.0936
19,20,1906,0.1906
2,20,595,0.0595
21,20,970,0.097
22,20,811,0.0811
23,20,126,0.0126
24,20,719,0.0719
25,20,613,0.0613
26,20,937,0.0937
27,20,1196,0.1196
28,20,169,0.0169
29,20,22368,2.2368
30,20,307,0.0307
31,20,2910,0.291
32,20,779,0.0779
33,20,151,0.0151
34,20,888,0.0888
35,20,785,0.0785
36,20,1669,0.1669
37,20,1804,0.1804
38,20,217,0.0217
39,20,1419,0.1419
4,20,1996,0.1996
40,20,5303,0.5303
41,20,608,0.0608
42,20,746,0.0746
44,20,31,0.0031
45,20,533,0.0533
46,20,438,0.0438
47,20,1250,0.125
48,20,9436,0.9436
49,20,815,0.0815
5,20,1406,0.1406
50,20,44,0.0044
51,20,1864,0.1864
53,20,1444,0.1444
54,20,175,0.0175
55,20,397,0.0397
56,20,281,0.0281
6,20,5838,0.5838
72,20,217,0.0217
8,20,4720,0.472
9,20,360,0.036
AFR,20,1217,0.1217
ASI,20,8333,0.8333
CAM,20,1787,0.1787
CAR,20,291,0.0291
EUR,20,2857,0.2857
ISL,20,37,0.0037
NAM,20,278,0.0278
OCE,20,221,0.0221
SAM,20,1158,0.1158
1,21,1873,0.1873
10,21,159,0.0159
11,21,197,0.0197
12,21,7536,0.7536
13,21,4610,0.461
15,21,467,0.0467
16,21,180,0.018
17,21,5417,0.5417
18,21,11037,1.1037
19,21,967,0.0967
2,21,587,0.0587
20,21,1205,0.1205
22,21,1006,0.1006
23,21,290,0.029
24,21,1680,0.168
25,21,694,0.0694
26,21,2871,0.2871
27,21,760,0.076
28,21,901,0.0901
29,21,2117,0.2117
30,21,37,0.0037
31,21,569,0.0569
32,21,467,0.0467
33,21,332,0.0332
34,21,508,0.0508
35,21,614,0.0614
36,21,3037,0.3037
37,21,3233,0.3233
38,21,56,0.0056
39,21,15721,1.5721
4,21,1013,0.1013
40,21,800,0.08
41,21,466,0.0466
42,21,1930,0.193
44,21,86,0.0086
45,21,1265,0.1265
46,21,177,0.0177
47,21,11192,1.1192
48,21,5797,0.5797
49,21,425,0.0425
5,21,496,0.0496
50,21,115,0.0115
51,21,2719,0.2719
53,21,1427,0.1427
54,21,2465,0.2465
55,21,1039,0.1039
56,21,266,0.0266
6,21,4277,0.4277
72,21,956,0.0956
8,21,1614,0.1614
9,21,373,0.0373
AFR,21,1366,0.1366
ASI,21,8217,0.8217
CAM,21,2233,0.2233
CAR,21,866,0.0866
EUR,21,2095,0.2095
NAM,21,597,0.0597
OCE,21,250,0.025
SAM,21,705,0.0705
1,22,3805,0.3805
10,22,101,0.0101
11,22,214,0.0214
12,22,5630,0.563
13,22,4447,0.4447
15,22,647,0.0647
16,22,113,0.0113
17,22,2571,0.2571
18,22,460,0.046
19,22,600,0.06
2,22,633,0.0633
20,22,727,0.0727
21,22,921,0.0921
23,22,36,0.0036
24,22,851,0.0851
25,22,698,0.0698
26,22,1762,0.1762
27,22,607,0.0607
28,22,8471,0.8471
29,22,1324,0.1324
30,22,301,0.0301
31,22,208,0.0208
32,22,492,0.0492
33,22,193,0.0193
34,22,709,0.0709
35,22,340,0.034
36,22,2398,0.2398
37,22,2679,0.2679
38,22,212,0.0212
39,22,1566,0.1566
4,22,571,0.0571
40,22,1861,0.1861
41,22,863,0.0863
42,22,901,0.0901
44,22,124,0.0124
45,22,1076,0.1076
