a_state_code,a_state_name,b_state_code,b_state_name,inflow,outflow,net_migration
12,Florida,SAM,South America,41503,0,0
13,Georgia,1,Alabama,17131,21417,-4286
13,Georgia,10,Delaware,1139,744,395
13,Georgia,11,District of Columbia,1031,1159,-128
13,Georgia,12,Florida,43536,39554,3982
13,Georgia,15,Hawaii,1317,1990,-673
13,Georgia,16,Idaho,752,488,264
13,Georgia,17,Illinois,8686,5284,3402
13,Georgia,18,Indiana,3522,3702,-180
13,Georgia,19,Iowa,1468,1268,200
13,Georgia,2,Alaska,1993,1126,867
13,Georgia,20,Kansas,3262,2360,902
13,Georgia,21,Kentucky,3734,4610,-876
13,Georgia,22,Louisiana,5035,4447,588
13,Georgia,23,Maine,567,435,132
13,Georgia,24,Maryland,4891,5934,-1043
